Version Name,JavaScript,Java, C++ source, C source,C/C++ Header,Ruby,Shell,BUCK,XML
5,9373,0,0,0,0,0,36,0,0
6,9457,0,0,0,0,0,36,0,0
7,12036,0,0,0,0,0,36,0,0
8,12202,0,0,0,0,0,36,0,0
9,12227,0,0,0,0,0,36,0,0
10,12773,0,0,0,0,0,53,0,0
11,15007,0,0,0,0,0,36,0,0
12,15543,0,0,0,0,0,36,0,0
13,16047,0,0,0,0,0,36,0,0
14,15682,0,0,0,0,0,79,0,0
15,15174,0,0,0,0,0,79,0,0
17,16767,0,0,0,0,0,77,0,0
18,17099,0,0,0,0,0,85,0,0
19,17349,0,0,0,0,0,107,0,0
20,18782,0,0,0,0,0,107,0,0
21,17261,0,0,0,0,0,107,0,0
22,10141,0,0,0,0,0,107,0,0
23,8843,0,0,0,0,0,107,0,0
24,8927,0,0,0,0,0,107,0,0
25,8107,0,0,0,0,0,107,0,0
26,8233,0,0,0,0,0,108,0,0
27,8332,0,0,0,0,0,108,0,0
28,8613,0,0,0,0,0,108,0,0
29,8640,0,0,0,0,0,117,0,0
30,8653,0,0,0,0,0,117,0,0
31,8706,0,0,0,0,0,120,0,0
32,20787,0,0,0,0,0,120,0,0
33,21034,0,0,0,0,0,120,0,0
34,21186,0,0,0,0,0,128,0,0
35,22227,0,0,0,0,0,128,0,0
36,22843,0,0,0,0,0,131,0,0
37,22264,0,0,0,0,0,131,0,0
38,22269,0,0,0,0,0,131,0,0
39,23096,0,0,0,0,0,131,0,0
40,23016,0,0,0,0,0,131,0,0
41,23720,0,0,0,0,0,131,0,0
42,24828,0,0,0,0,0,131,0,0
43,25294,0,0,0,0,0,131,0,0
44,25634,0,0,0,0,0,131,0,0
45,27035,0,0,0,0,0,138,0,0
