Version Name,JavaScript,Java, C++ source, C source,C/C++ Header,Ruby,Shell,BUCK,XML
5,5336,0,0,0,0,0,52,0,0
6,5338,0,0,0,0,0,52,0,0
7,5339,0,0,0,0,0,52,0,0
8,5366,0,0,0,0,0,52,0,0
9,5392,0,0,0,0,0,52,0,0
10,5431,0,0,0,0,0,52,0,0
11,5596,0,0,0,0,0,88,0,0
12,5898,0,0,0,0,0,89,0,0
13,5924,0,0,0,0,0,89,0,0
14,6059,0,0,0,0,0,89,0,0
15,6137,0,0,0,0,0,89,0,0
17,6277,0,0,0,0,0,89,0,0
18,6597,0,0,0,0,0,23,0,0
19,6641,0,0,0,0,0,23,0,0
20,6797,0,0,0,0,0,23,0,0
21,6819,0,0,0,0,0,23,0,0
22,7262,0,0,0,0,0,23,0,0
23,7342,0,0,0,0,0,23,0,0
24,7410,0,0,0,0,0,23,0,0
25,7598,0,0,0,0,0,23,0,0
26,7753,0,0,0,0,0,23,0,0
27,7885,0,0,0,0,0,23,0,0
28,7945,0,0,0,0,0,23,0,0
29,7515,0,0,0,0,0,23,0,0
30,7544,0,0,0,0,0,23,0,0
31,7591,0,0,0,0,0,23,0,0
32,7611,0,0,0,0,0,23,0,0
33,7621,0,0,0,0,0,23,0,0
34,7876,0,0,0,0,0,23,0,0
35,8155,0,0,0,0,0,23,0,0
36,8441,0,0,0,0,0,23,0,0
37,8452,0,0,0,0,0,23,0,0
38,8602,0,0,0,0,0,23,0,0
39,8664,0,0,0,0,0,23,0,0
40,8664,0,0,0,0,0,23,0,0
41,8691,0,0,0,0,0,23,0,0
42,8311,0,0,0,0,0,23,0,0
43,8310,0,0,0,0,0,23,0,0
44,8362,0,0,0,0,0,23,0,0
45,8730,0,0,0,0,0,23,0,0
46,9180,0,0,0,0,0,23,0,0
47,9194,0,0,0,0,0,23,0,0
48,9291,0,0,0,0,0,23,0,0
49,9292,0,0,0,0,0,23,0,0
50,9153,0,0,0,0,0,23,0,0
51,9150,0,0,0,0,0,23,0,0
